Date,price,Open,High,Low,Close,Volume ,bb_upper_ta,bb_lower_ta,sma05_ta,sma20_ta,sma60_ta,sma120_ta,sma240_ta,Recent_high,aroon_up_ta,aroon_downp_ta,ppo_histogram,SMA_20_turn,SMA_60_turn,Recent_low,account_balance,deposit,cash,portfolio_value,shares,rate,invested_amount,signal,rsi_ta,stochk_ta,stochd_ta,stock_ticker
2022-01-03,184.37,181.99,184.55,181.27,184.37,1699800,,,,,,,,184.37,,,0.00,False,False,184.37,31000000.00,0,15660693.14,15339306.86,64.00,0.00,31000000,week +buy 50% Monthly invest,,,,SOXX
2022-01-04,183.80,185.19,186.34,179.37,183.80,3504600,,,,,,,,184.37,,,-0.02,False,False,183.80,30952853.39,0,15660693.14,15292160.25,64.00,-0.15,31000000,,,,,SOXX
2022-01-05,177.56,182.39,183.96,177.40,177.56,3751800,,,,,,,,184.37,,,-0.25,False,False,177.56,30433408.17,0,15660693.14,14772715.03,64.00,-1.83,31000000,,,,,SOXX
2022-01-06,178.94,177.53,179.77,175.61,178.94,2934300,,,,,,,,184.37,,,-0.33,False,False,177.56,30548223.33,0,15660693.14,14887530.20,64.00,-1.46,31000000,,,,,SOXX
2022-01-07,173.75,178.76,179.42,173.20,173.75,2284500,,,179.68,,,,,184.37,,,-0.55,False,False,173.75,30116416.42,0,15660693.14,14455723.28,64.00,-2.85,31000000,,,,,SOXX
2022-01-10,173.81,171.60,174.19,168.00,173.81,5377500,,,177.57,,,,,184.37,,,-0.65,False,False,173.75,30121684.97,0,7978291.23,22143393.75,98.00,-2.83,31000000,week +buy 50% ,,,,SOXX
2022-01-11,177.08,173.23,177.29,171.95,177.08,3157200,,,176.23,,,,,184.37,,,-0.56,False,False,173.75,30538283.48,0,7978291.23,22559992.25,98.00,-1.49,31000000,,,,,SOXX
2022-01-12,178.38,178.79,180.02,176.60,178.38,3571500,,,176.39,,,,,184.37,,,-0.43,False,False,173.75,30703903.86,0,7978291.23,22725612.64,98.00,-0.96,31000000,,,,,SOXX
2022-01-13,174.22,181.11,182.62,173.77,174.22,3268800,,,175.45,,,,,184.37,,,-0.46,False,False,173.75,30173493.71,0,7978291.23,22195202.48,98.00,-2.67,31000000,,,,,SOXX
2022-01-14,178.39,172.84,178.55,172.81,178.39,3401700,,,176.37,,,,,184.37,,,-0.30,False,False,173.75,30704753.37,0,7978291.23,22726462.14,98.00,-0.95,31000000,,,,,SOXX
2022-01-18,170.41,175.54,175.56,170.04,170.41,7686000,,,175.70,,,,,184.37,,,-0.47,False,False,170.41,29688949.47,0,7978291.23,21710658.24,98.00,-4.23,31000000,,,,,SOXX
2022-01-19,165.40,171.80,172.85,165.28,165.40,9931800,,,173.36,,,,,184.37,,,-0.72,False,False,165.40,29050250.46,0,7978291.23,21071959.24,98.00,-6.29,31000000,,,,,SOXX
2022-01-20,160.21,166.68,168.00,160.00,160.21,8349900,,,169.73,,,,,184.37,,,-1.02,False,False,160.21,28389469.85,0,7978291.23,20411178.62,98.00,-8.42,31000000,,,,,SOXX
2022-01-21,157.55,159.09,163.62,157.20,157.55,13946100,,,166.39,,,,,184.37,,,-1.25,False,False,157.55,28049735.84,0,7978291.23,20071444.61,98.00,-9.52,31000000,,,,,SOXX
2022-01-24,159.35,154.25,159.64,148.98,159.35,15465300,,,162.58,,,,,184.37,,,-1.26,False,False,157.55,28279056.22,0,4042428.63,24236627.59,117.00,-8.78,31000000,week +buy 50% ,24.16,,,SOXX
2022-01-25,153.40,155.25,157.16,152.52,153.40,10710300,,,159.18,,,,,184.37,,,-1.41,False,False,153.40,27374567.71,0,4042428.63,23332139.09,117.00,-11.69,31000000,,20.20,,,SOXX
2022-01-26,155.76,157.71,162.26,153.40,155.76,8508000,,,157.25,,,,,184.37,,,-1.32,False,False,153.40,27733017.83,0,4042428.63,23690589.20,117.00,-10.54,31000000,,25.41,,,SOXX
2022-01-27,148.82,157.30,157.49,148.32,148.82,8400900,,,154.97,,,,,184.37,,,-1.45,False,False,148.82,26678457.73,0,4042428.63,22636029.10,117.00,-13.94,31000000,,21.06,,,SOXX
2022-01-28,151.68,148.70,151.68,144.43,151.68,7173000,,,153.80,,,,,184.37,,,-1.32,False,False,148.82,27112449.53,0,4042428.63,23070020.90,117.00,-12.54,31000000,,26.63,,,SOXX
2022-01-31,159.82,152.44,160.07,151.60,159.82,7846800,190.28,123.83,153.90,168.13,,,,184.37,,,-0.83,False,False,148.82,28351557.73,0,2172495.62,26179062.11,126.00,-8.54,31000000,week +buy 50% ,39.72,,,SOXX
2022-02-01,161.15,161.39,161.65,157.13,161.15,4068900,188.00,124.91,155.45,166.97,,,,184.37,,,-0.39,False,False,148.82,29569412.06,0,3172495.62,26396916.44,126.00,-7.60,32000000,Monthly invest,41.55,,,SOXX
2022-02-02,165.22,164.41,165.64,162.09,165.22,5229000,185.61,126.91,157.34,166.04,,,,184.37,,,0.10,False,False,148.82,30236076.75,0,3172495.62,27063581.13,126.00,-5.51,32000000,,46.88,43.08,,SOXX
2022-02-03,158.03,161.07,163.73,157.43,158.03,6506400,184.18,126.84,159.18,165.07,,,,184.37,,,0.16,False,False,148.82,29058356.71,0,3172495.62,25885861.09,126.00,-9.19,32000000,,39.95,42.71,,SOXX
2022-02-04,158.94,157.30,160.30,155.17,158.94,5061300,182.24,127.72,160.63,164.07,,,,184.37,,,0.25,False,False,148.82,29206867.95,0,3172495.62,26034372.33,126.00,-8.73,32000000,,41.13,42.08,,SOXX
2022-02-07,158.85,159.33,161.50,158.25,158.85,3501900,181.07,127.83,160.44,163.32,,,,184.37,,,0.32,False,False,148.82,29192126.60,0,1726960.56,27465166.04,133.00,-8.77,32000000,week +buy 50% ,41.05,37.13,,SOXX
2022-02-08,162.87,158.18,163.20,157.91,162.87,2941200,179.86,128.62,160.78,162.78,,,,184.37,4.00,72.00,0.54,False,False,148.82,29886607.63,0,1726960.56,28159647.07,133.00,-6.60,32000000,,46.45,41.35,,SOXX
2022-02-09,168.21,165.01,168.23,162.95,168.21,5061000,178.33,130.34,161.38,162.33,,,,184.37,0.00,68.00,0.90,False,False,148.82,30810470.77,0,1726960.56,29083510.21,133.00,-3.72,32000000,,52.66,49.44,,SOXX
2022-02-10,162.97,164.11,169.29,162.04,162.97,4614000,175.78,133.13,162.37,161.56,,,,184.37,0.00,64.00,0.89,False,False,148.82,29903896.08,0,1726960.56,28176935.51,133.00,-6.55,32000000,,46.91,53.04,,SOXX
2022-02-11,154.67,163.24,164.43,153.56,154.67,7881900,173.84,134.07,161.51,160.59,,,,184.37,20.00,60.00,0.54,True,False,148.82,28469981.05,0,1726960.56,26743020.49,133.00,-11.03,32000000,,39.55,46.95,,SOXX
2022-02-14,154.82,155.20,157.95,152.80,154.82,5697300,170.06,138.10,160.71,159.41,,,,184.37,16.00,56.00,0.32,True,False,148.82,28495339.77,0,921896.53,27573443.25,137.00,-10.95,32000000,week +buy 50% ,39.73,37.32,,SOXX
2022-02-15,163.36,158.17,163.79,157.75,163.36,4881000,168.64,139.88,160.81,159.05,,,,184.37,12.00,52.00,0.53,True,False,148.82,30016905.07,0,921896.53,29095008.54,137.00,-6.20,32000000,,49.22,43.34,43.64,SOXX
2022-02-16,163.42,161.36,164.02,159.93,163.42,2713200,168.31,140.24,159.85,158.96,,,,184.37,8.00,48.00,0.66,True,False,148.82,30026405.81,0,921896.53,29104509.28,137.00,-6.17,32000000,,49.27,58.79,45.22,SOXX
2022-02-17,157.28,161.25,161.47,157.04,157.28,6003000,168.18,140.07,158.71,158.81,,,,184.37,4.00,44.00,0.49,True,False,148.82,28933464.35,0,921896.53,28011567.82,137.00,-9.58,32000000,,43.57,64.89,47.43,SOXX
2022-02-18,155.52,157.35,157.93,153.36,155.52,5866200,168.17,139.78,158.88,158.71,,,,184.37,0.00,40.00,0.30,True,False,148.82,28620601.78,0,921896.53,27698705.25,137.00,-10.56,32000000,,42.06,57.56,48.98,SOXX
2022-02-22,154.58,153.84,158.29,152.12,154.58,8370000,168.09,139.22,158.83,158.47,,,,184.37,0.00,36.00,0.15,True,False,148.82,28451999.67,0,921896.53,27530103.15,137.00,-11.09,32000000,,41.24,45.71,49.84,SOXX
2022-02-23,150.89,156.37,158.00,150.41,150.89,6525600,168.29,138.45,156.34,158.34,,,,184.37,0.00,32.00,-0.08,True,False,148.82,27795997.89,0,921896.53,26874101.36,137.00,-13.14,32000000,,38.11,37.15,49.42,SOXX
2022-02-24,156.41,145.03,156.66,144.68,156.41,8669100,168.29,138.54,154.94,158.38,,,,184.37,0.00,28.00,0.02,False,False,148.82,28779110.60,0,921896.53,27857214.07,137.00,-10.07,32000000,,44.86,38.34,48.31,SOXX
2022-02-25,159.02,156.41,159.02,154.19,159.02,7065000,167.78,141.10,155.29,158.89,,,,184.37,60.00,24.00,0.21,False,False,148.82,29243359.24,0,921896.53,28321462.71,137.00,-8.61,32000000,,47.76,44.30,47.43,SOXX
2022-02-28,158.05,156.95,159.46,154.87,158.05,4359300,167.48,142.66,155.79,159.21,,,,184.37,56.00,20.00,0.30,False,False,148.82,29071194.42,0,510957.87,28560236.55,139.00,-9.15,32000000,week +buy 50% ,46.78,53.74,48.11,SOXX
2022-03-01,152.32,157.41,158.33,150.65,152.32,4265700,167.62,141.25,155.34,158.83,,,,184.37,52.00,16.00,0.12,False,False,148.82,29035784.33,0,1510957.87,27524826.45,139.00,-12.01,33000000,Monthly invest,41.35,48.03,49.19,SOXX
2022-03-02,157.17,153.59,158.26,153.23,157.17,2850600,167.38,141.12,156.60,158.63,,,,184.37,48.00,12.00,0.22,False,False,148.82,29910975.50,0,1510957.87,28400017.63,139.00,-9.36,33000000,,46.96,45.38,49.39,SOXX
2022-03-03,153.87,158.13,158.17,152.93,153.87,4177800,166.50,141.19,156.09,158.06,,,,184.37,44.00,8.00,0.15,False,False,148.82,29315265.97,0,1510957.87,27804308.10,139.00,-11.17,33000000,,43.88,39.72,47.48,SOXX
2022-03-04,149.79,152.37,153.71,148.10,149.79,4443300,166.83,139.30,154.24,157.65,,,,184.37,40.00,4.00,-0.04,False,False,148.82,28577408.60,0,1510957.87,27066450.73,139.00,-13.40,33000000,,40.36,36.28,44.62,SOXX
2022-03-07,142.27,150.23,151.30,142.24,142.27,5869200,168.15,134.16,151.08,156.82,,,,184.37,36.00,100.00,-0.46,False,False,142.27,27219748.78,0,771136.55,26448612.23,143.00,-17.52,33000000,week +buy 50% ,34.82,19.41,40.81,SOXX
2022-03-08,145.00,143.24,150.30,140.85,145.00,7909500,168.52,131.34,149.62,156.12,,,,184.37,32.00,100.00,-0.57,False,False,142.27,27726636.55,0,771136.55,26955500.00,143.00,-15.98,33000000,,38.14,11.82,37.42,SOXX
2022-03-09,151.08,149.88,152.22,148.17,151.08,4699800,167.71,131.19,148.40,155.54,,,,184.37,28.00,96.00,-0.34,False,False,142.27,28856287.65,0,771136.55,28085151.09,143.00,-12.56,33000000,,44.87,16.88,35.39,SOXX
2022-03-10,147.98,148.40,148.55,145.07,147.98,4805700,165.63,132.31,147.22,154.52,,,,184.37,24.00,92.00,-0.29,False,False,142.27,28279999.32,0,771136.55,27508862.77,143.00,-14.30,33000000,,42.34,25.19,34.07,SOXX
