Date,price,Open,High,Low,Close,Volume ,bb_upper_ta,bb_lower_ta,sma05_ta,sma20_ta,sma60_ta,sma120_ta,sma240_ta,Recent_high,aroon_up_ta,aroon_downp_ta,ppo_histogram,SMA_20_turn,SMA_60_turn,Recent_low,account_balance,deposit,cash,portfolio_value,shares,rate,invested_amount,signal,rsi_ta,stochk_ta,stochd_ta,stock_ticker,rate_vs
2022-01-03,182.01,177.83,182.88,177.71,182.01,104487900,,,,,,,,182.01,,,0.00,False,False,182.01,31000000.00,0,15620155.42,15379844.58,65.00,0.00,31000000,week +buy 50% Monthly invest,,,,AAPL,0.00
2022-01-04,179.70,182.63,182.94,179.12,179.70,99310400,,,,,,,,182.01,,,-0.08,False,False,179.70,30804805.17,0,15620155.42,15184649.75,65.00,-0.63,31000000,,,,,AAPL,-0.02
2022-01-05,174.92,179.61,180.17,174.64,174.92,94537600,,,,,,,,182.01,,,-0.30,False,False,174.92,30400895.25,0,15620155.42,14780739.83,65.00,-1.93,31000000,,,,,AAPL,-0.97
2022-01-06,172.00,172.70,175.30,171.64,172.00,96904000,,,,,,,,182.01,,,-0.52,False,False,172.00,30154155.42,0,15620155.42,14534000.00,65.00,-2.73,31000000,,,,,AAPL,-1.04
2022-01-07,172.17,172.89,174.14,171.03,172.17,86709100,,,176.16,,,,,182.01,,,-0.63,False,False,172.00,30168520.25,0,15620155.42,14548364.83,65.00,-2.68,31000000,,,,,AAPL,-1.21
2022-01-10,172.19,169.08,172.50,168.17,172.19,106765600,,,174.20,,,,,182.01,,,-0.66,False,False,172.00,30170210.59,0,8009357.33,22160853.26,99.00,-2.68,31000000,week +buy 50% ,,,,AAPL,-1.27
2022-01-11,175.08,172.32,175.18,170.82,175.08,76138300,,,173.27,,,,,182.01,,,-0.53,False,False,172.00,30542153.59,0,8009357.33,22532796.26,99.00,-1.48,31000000,,,,,AAPL,-0.63
2022-01-12,175.53,176.12,177.18,174.82,175.53,74805200,,,173.39,,,,,182.01,,,-0.41,False,False,172.00,30600068.21,0,8009357.33,22590710.87,99.00,-1.29,31000000,,,,,AAPL,-0.40
2022-01-13,172.19,175.78,176.62,171.79,172.19,84505800,,,173.43,,,,,182.01,,,-0.42,False,False,172.00,30170210.59,0,8009357.33,22160853.26,99.00,-2.68,31000000,,,,,AAPL,-1.43
2022-01-14,173.07,171.34,173.78,171.09,173.07,80440800,,,173.61,,,,,182.01,,,-0.37,False,False,172.00,30283467.23,0,8009357.33,22274109.90,99.00,-2.31,31000000,,,,,AAPL,-1.41
2022-01-18,169.80,171.51,172.54,169.41,169.80,90956700,,,173.13,,,,,182.01,,,-0.42,False,False,169.80,29862617.72,0,8009357.33,21853260.39,99.00,-3.67,31000000,,,,,AAPL,-2.70
2022-01-19,166.23,170.00,171.08,165.94,166.23,94815000,,,171.36,,,,,182.01,,,-0.56,False,False,166.23,29403157.82,0,8009357.33,21393800.49,99.00,-5.15,31000000,,,,,AAPL,-3.45
2022-01-20,164.51,166.98,169.68,164.18,164.51,91420500,,,169.16,,,,,182.01,,,-0.67,False,False,164.51,29181793.69,0,8009357.33,21172436.36,99.00,-5.87,31000000,,,,,AAPL,-4.24
2022-01-21,162.41,164.42,166.33,162.30,162.41,122848900,,,167.20,,,,,182.01,,,-0.77,False,False,162.41,28911524.85,0,8009357.33,20902167.51,99.00,-6.74,31000000,,,,,AAPL,-5.63
2022-01-24,161.62,160.02,162.30,154.70,161.62,162294600,,,164.91,,,,,182.01,,,-0.82,False,False,161.62,28809850.69,0,4017343.46,24792507.23,118.00,-7.06,31000000,week +buy 50% ,13.97,,,AAPL,-5.34
2022-01-25,159.78,158.98,162.76,157.02,159.78,115798400,,,162.91,,,,,182.01,,,-0.86,False,False,159.78,28527595.30,0,4017343.46,24510251.85,118.00,-7.98,31000000,,12.61,,,AAPL,-6.33
2022-01-26,159.69,163.50,164.39,157.82,159.69,108275300,,,161.60,,,,,182.01,,,-0.83,False,False,159.69,28513789.76,0,4017343.46,24496446.31,118.00,-8.02,31000000,,12.54,,,AAPL,-6.51
2022-01-27,159.22,162.45,163.84,158.28,159.22,121954600,,,160.54,,,,,182.01,,,-0.77,False,False,159.22,28441691.61,0,4017343.46,24424348.15,118.00,-8.25,31000000,,12.19,,,AAPL,-6.91
